material,2.466
positioning,0.3
threat,0.12
move #, depth, move, time, visited, pruned, DP hits
1,1,g1f3,0.007480144500732422,21,0,0
1,2,g1f3,0.023174762725830078,79,0,0
1,3,g1f3,0.22748804092407227,767,0,159
1,4,g1f3,0.9622988700866699,3540,0,703
2,1,g8f6,0.008347034454345703,19,2,0
2,2,g8f6,0.03322601318359375,76,9,0
2,3,g8f6,0.25093698501586914,457,82,46
2,4,b8c6,1.2915740013122559,3163,1477,752
3,1,b1c3,0.007021188735961914,23,0,7
3,2,b1c3,0.026495933532714844,117,0,58
3,3,b1c3,0.34619593620300293,1134,0,185
3,4,b1c3,3.0922110080718994,10771,0,1884
4,1,g8f6,0.008559942245483398,20,3,2
4,2,g8f6,0.03214597702026367,78,18,41
4,3,g8f6,0.31123924255371094,564,151,59
4,4,g8f6,1.2293620109558105,2743,1420,352
5,1,f3e5,0.007883071899414062,25,0,5
5,2,h1g1,0.025054931640625,137,0,112
5,3,h1g1,0.44252896308898926,1407,0,185
5,4,c3b5,3.320911169052124,11746,0,2613
6,1,f6e4,0.008839845657348633,22,2,7
6,2,f6e4,0.0390772819519043,108,74,71
6,3,h8g8,0.39034605026245117,766,605,68
6,4,h8g8,0.8474183082580566,1839,1328,213
7,1,b5d4,0.0056209564208984375,28,0,27
7,2,b5c3,0.017538785934448242,102,0,74
7,3,b5c3,0.39525294303894043,1271,0,157
7,4,f3d4,2.1548171043395996,8098,0,1586
8,1,c6d4,0.008877754211425781,23,0,4
8,2,c6e5,0.04164886474609375,126,82,90
8,3,c6e5,0.4068610668182373,780,321,80
8,4,c6e5,1.9053149223327637,4245,2019,539
9,1,b5d6,0.00916910171508789,28,0,4
9,2,b5c3,0.01930093765258789,79,0,14
9,3,b5c3,0.5056157112121582,1616,0,216
9,4,h1g1,2.2349460124969482,8284,0,1435
10,1,f6e4,0.008914947509765625,23,2,5
10,2,f6e4,0.0391230583190918,100,79,47
10,3,f6h5,0.4419269561767578,877,453,98
10,4,e5g6,1.7015008926391602,3857,2929,871
11,1,b5d6,0.008872747421264648,28,0,5
11,2,b5c3,0.01842212677001953,76,0,7
11,3,b5c3,0.3990962505340576,1292,0,170
11,4,g1h1,2.360369920730591,8814,0,1496
12,1,g6e5,0.009079933166503906,22,0,1
12,2,g6e5,0.03479719161987305,79,71,26
12,3,g6e5,0.3292527198791504,666,194,80
12,4,g8h8,0.9625320434570312,2078,1647,309
13,1,b5d6,0.0055239200592041016,28,0,27
13,2,b5c3,0.01227712631225586,76,0,48
13,3,b5c3,0.4021639823913574,1293,0,170
13,4,h1g1,2.257415771484375,8337,0,1377
14,1,g6e5,0.008722066879272461,22,0,3
14,2,g6e5,0.032651662826538086,79,71,40
14,3,f6d5,0.35015201568603516,695,270,67
14,4,h8g8,0.9742791652679443,2080,1646,304
15,1,b5d6,0.005601644515991211,28,0,27
15,2,b5c3,0.012577056884765625,76,0,48
15,3,b5c3,0.4113650321960449,1292,0,170
15,4,g1h1,2.384248733520508,8814,0,1496
16,1,g6e5,0.008368730545043945,22,0,5
16,2,g6e5,0.03178286552429199,79,71,41
16,3,g6e5,0.3322920799255371,666,194,80
16,4,g8h8,0.9655537605285645,2078,1647,309
17,1,b5d6,0.005502939224243164,28,0,27
17,2,b5c3,0.012153148651123047,76,0,48
17,3,b5c3,0.40026426315307617,1293,0,170
17,4,h1g1,2.2458860874176025,8337,0,1377
18,1,g6e5,0.00867462158203125,22,0,3
18,2,g6e5,0.032061100006103516,79,71,40
18,3,f6d5,0.354445219039917,695,270,67
18,4,h8g8,0.9615087509155273,2080,1646,304
19,1,b5d6,0.005602121353149414,28,0,27
19,2,b5c3,0.012161016464233398,76,0,48
19,3,b5c3,0.4011871814727783,1292,0,170
19,4,g1h1,2.3628921508789062,8814,0,1496
20,1,g6e5,0.00852513313293457,22,0,5
20,2,g6e5,0.03159499168395996,79,71,41
20,3,g6e5,0.33535099029541016,666,194,80
20,4,g8h8,0.9717190265655518,2078,1647,309
21,1,b5d6,0.005515098571777344,28,0,27
21,2,b5c3,0.012189149856567383,76,0,48
21,3,b5c3,0.4028961658477783,1293,0,170
21,4,h1g1,2.2512478828430176,8337,0,1377
22,1,g6e5,0.008734941482543945,22,0,3
22,2,g6e5,0.03204202651977539,79,71,40
