material,2.466
positioning,0.974
threat,3.998
move #, depth, move, time, visited, pruned, DP hits
1,1,g1f3,0.008044242858886719,21,0,0
1,2,g1f3,0.02492976188659668,79,0,0
1,3,g1f3,0.23629093170166016,761,0,157
1,4,g1f3,0.9442799091339111,3482,0,675
3,1,b1c3,0.007578849792480469,23,0,7
3,2,b1c3,0.026563167572021484,127,0,89
3,3,b1c3,0.4040498733520508,1313,0,225
3,4,b1c3,3.5860350131988525,12440,0,2745
5,1,f3e5,0.008751869201660156,25,0,3
5,2,f3e5,0.024380207061767578,109,0,58
5,3,f3e5,0.4122440814971924,1293,0,159
5,4,e2e3,5.107964277267456,17733,0,4984
7,1,f1d3,0.01200413703918457,32,0,0
7,2,f1d3,0.06519412994384766,267,0,158
7,3,f1d3,1.1582410335540771,3626,0,525
7,4,f1b5,7.2590930461883545,25428,0,7506
9,1,f3e5,0.012769937515258789,33,0,1
9,2,f3e5,0.04746127128601074,148,0,3
9,3,f3e5,0.5202481746673584,1566,0,201
9,4,b5c6,0.8630919456481934,3443,0,340
10,1,c8d7,0.001955747604370117,4,0,0
10,2,d8d7,0.016627788543701172,39,2,0
10,3,c8d7,0.2187812328338623,224,44,0
10,4,c8d7,1.210216999053955,2779,546,367
11,1,f3e5,0.011544227600097656,35,0,7
11,2,f3e5,0.029911041259765625,157,0,122
11,3,f3e5,1.1838898658752441,3547,0,368
11,4,f3e5,2.3473448753356934,8518,0,1171
12,1,g8f6,0.010343074798583984,24,0,1
12,2,d7c6,0.07517695426940918,154,20,40
12,3,d7c6,0.5682780742645264,538,36,2
12,4,d7c6,3.163665771484375,7373,1406,1035
13,1,d1f3,0.007710933685302734,38,0,37
13,2,d1f3,0.12154507637023926,463,0,227
13,3,d1g4,1.8886568546295166,5879,0,674
13,4,d1h5,7.82115912437439,27140,0,5257
14,1,g8f6,0.01231694221496582,22,2,2
14,2,g8h6,0.045295000076293945,78,33,43
14,3,g8h6,0.29674386978149414,433,71,0
14,4,g8h6,2.0097849369049072,4429,1998,689
15,1,h5g5,0.009786844253540039,47,0,46
15,2,h5g5,0.04165077209472656,218,0,171
15,3,h5g5,1.402867317199707,4110,0,777
15,4,h5h6,10.324856758117676,35071,0,10170
16,1,d8b6,0.011061906814575195,24,1,0
16,2,d8b6,0.09749603271484375,183,173,0
16,3,d8c7,0.6779322624206543,986,258,79
16,4,d8c8,3.527766227722168,7559,3826,1085
17,1,h6c6,0.01890110969543457,48,0,3
17,2,h6g5,0.06695079803466797,259,0,153
17,3,h6f4,1.9537909030914307,5556,0,934
17,4,h6h5,10.198410034179688,33902,0,7892
18,1,c8e6,0.006928205490112305,19,5,18
18,2,c8e6,0.06634092330932617,186,55,166
18,3,c8e6,0.48335790634155273,396,80,6
18,4,c8e6,2.8491830825805664,6406,2237,1014
19,1,h5f7,0.016424894332885742,48,0,9
19,2,h5f7,0.08293795585632324,411,0,363
19,3,h5g5,2.30621600151062,7118,0,1046
19,4,h5g5,11.865378141403198,41237,0,9093
20,1,e6f6,0.008146286010742188,24,6,23
20,2,h8g8,0.05486321449279785,124,159,100
20,3,a8c8,1.2731337547302246,2086,611,227
20,4,a8d8,4.23321008682251,8235,5758,1272
21,1,g5e7,0.015730857849121094,47,0,13
