material,1.0
positioning,0.02
threat,0.05
move #, depth, move, time, visited, pruned, DP hits
2,1,g8f6,0.007331132888793945,21,0,0
2,2,g8f6,0.03605294227600098,103,0,0
2,3,g8f6,0.29335808753967285,900,0,133
2,4,b8c6,2.888592004776001,9460,0,1644
4,1,g8f6,0.008054971694946289,23,0,3
4,2,g8f6,0.018500089645385742,99,0,76
4,3,g8f6,0.33306217193603516,1040,0,128
4,4,g8f6,1.7987499237060547,6047,0,664
6,1,f6e4,0.008237838745117188,24,0,7
6,2,f6e4,0.037333011627197266,150,0,90
6,3,c6b4,0.36345696449279785,1110,0,62
6,4,f6e4,4.31194806098938,14152,0,2313
8,1,e4d2,0.011173725128173828,30,0,1
8,2,b7b5,0.042012929916381836,202,0,172
8,3,c6b4,0.6692090034484863,2021,0,194
8,4,c6b4,4.9082701206207275,16263,0,2563
10,1,b4c2,0.008700847625732422,31,0,15
10,2,b4d5,0.03546500205993652,131,0,30
10,3,b4d5,0.9396169185638428,2867,0,258
10,4,e4c5,5.882812023162842,19982,0,3844
12,1,c5a4,0.008730888366699219,28,0,6
12,2,c5a4,0.029562950134277344,119,0,46
12,3,c5a4,0.32564306259155273,1025,0,21
12,4,c5a4,2.3152129650115967,7422,0,1106
14,1,a4c3,0.008588075637817383,29,0,11
14,2,a4c3,0.09502887725830078,383,0,233
14,3,b4d3,0.8489780426025391,2834,0,454
14,4,b4d3,8.928730249404907,31140,0,8832
16,1,d3e1,0.010020971298217773,31,0,5
16,2,d3e1,0.05369997024536133,264,0,208
16,3,d3e1,1.1704151630401611,3749,0,404
16,4,a4c5,9.143654108047485,32699,0,6209
18,1,d3e1,0.008784055709838867,30,0,13
18,2,d3e1,0.0425410270690918,195,0,124
18,3,h8g8,1.5334410667419434,4825,0,386
18,4,d3e1,7.428065776824951,26239,0,3920
20,1,e1f3,0.00979304313659668,28,0,0
20,2,e1f3,0.06291604042053223,213,0,34
20,3,e1f3,0.7363688945770264,2407,0,299
20,4,e1f3,7.615854740142822,27283,0,7554
22,1,c5e4,0.007136106491088867,24,0,5
22,2,c5e6,0.03265213966369629,143,0,68
22,3,c5e6,0.5731918811798096,1953,0,277
22,4,c5e6,7.026140213012695,25515,0,5325
24,1,e6d4,0.0041429996490478516,20,0,19
24,2,e6c5,0.027755022048950195,134,0,92
24,3,e6c5,0.40638208389282227,1428,0,222
24,4,e6c5,8.4390709400177,30920,0,8663
25,1,b1d2,0.01227879524230957,29,0,0
25,2,b1d2,0.06537914276123047,157,38,0
25,3,c1e3,0.8921921253204346,1693,1230,246
25,4,c1e3,4.808077096939087,11996,3801,2166
26,1,c5e4,0.007253885269165039,23,0,5
26,2,c5a6,0.05791282653808594,229,0,110
26,3,c5a6,0.6161186695098877,2146,0,281
26,4,d7d6,6.460747003555298,23884,0,5334
27,1,e3c5,0.0033049583435058594,2,29,1
27,2,e3c5,0.007843017578125,23,31,21
27,3,e3c5,0.07407188415527344,84,78,0
27,4,e3c5,0.4001469612121582,1039,256,97
28,1,d6c5,0.00455784797668457,24,0,23
28,2,d6c5,0.05585312843322754,209,0,68
28,3,d6c5,0.6599931716918945,2283,0,311
28,4,d6c5,3.9427011013031006,14939,0,3086
29,1,b1d2,0.0066411495208740234,22,3,21
29,2,d1d3,0.03643798828125,105,17,83
29,3,d1a4,0.4017448425292969,741,581,62
29,4,d1a4,2.3044071197509766,5554,1345,760
30,1,c8d7,0.0009057521820068359,5,0,4
30,2,c7c6,0.020831823348999023,93,0,70
30,3,d8d7,0.18660998344421387,613,0,3
30,4,c8d7,1.3104679584503174,5076,0,922
31,1,a4d7,0.004504203796386719,17,13,16
