material,9.752
positioning,0.111
threat,3.53
move #, depth, move, time, visited, pruned, DP hits
2,1,g8f6,0.007405996322631836,21,0,0
2,2,g8f6,0.03461337089538574,103,0,0
2,3,g8f6,0.2716538906097412,897,0,139
2,4,b8c6,4.315076112747192,14115,0,2070
4,1,g8f6,0.007990837097167969,23,0,3
4,2,g8f6,0.018232107162475586,99,0,76
4,3,g8f6,0.32718467712402344,1041,0,110
4,4,g8f6,1.563277244567871,5391,0,592
6,1,f6e4,0.007625102996826172,24,0,7
6,2,c6b4,0.05750608444213867,259,0,204
6,3,f6e4,0.4021182060241699,1289,0,118
6,4,a7a6,8.80332899093628,28651,0,4731
8,1,f6e4,0.010495901107788086,26,0,0
8,2,c6b4,0.08062291145324707,252,0,72
8,3,f6e4,0.5033111572265625,1501,0,164
8,4,b7b5,8.806971788406372,29295,0,5442
10,1,b5a4,0.009778976440429688,27,0,0
10,2,b5a4,0.0340421199798584,169,0,132
10,3,b5a4,0.7170722484588623,2275,0,224
10,4,b5a4,4.046945095062256,14798,0,2379
12,1,f6e4,0.007627010345458984,26,0,9
12,2,a8b8,0.034224748611450195,145,0,71
12,3,a8b8,0.5092113018035889,1650,0,202
12,4,a8b8,1.9187839031219482,6733,0,785
14,1,f6e4,0.00896310806274414,30,0,9
14,2,a4a3,0.06003403663635254,259,0,160
14,3,a4a3,1.4487941265106201,4653,0,515
14,4,a4a3,12.67825198173523,44066,0,10421
16,1,f6e4,0.009798288345336914,30,0,9
16,2,a3b2,0.05265617370605469,173,0,26
16,3,a3b2,1.09999418258667,3415,0,405
16,4,a3b2,12.488086938858032,44295,0,10857
18,1,b2a1q,0.00972127914428711,36,0,19
18,2,b2a1q,0.08735322952270508,379,0,247
18,3,b2a1q,3.766062021255493,12690,0,2980
18,4,b2a1q,22.531857013702393,83681,0,23643
20,1,a1c1,0.00828695297241211,35,0,24
20,2,a1c3,0.04654693603515625,175,0,46
20,3,a1c3,1.6399171352386475,5074,0,450
20,4,a1a2,17.320741176605225,60206,0,14704
21,1,f3e5,0.00993204116821289,22,5,0
21,2,d4d5,0.0898439884185791,202,165,0
21,3,d4d5,0.8881847858428955,1542,464,184
21,4,d4d5,15.007354974746704,37011,21895,10091
22,1,a2d2,0.01465916633605957,40,0,0
22,2,c6a5,0.15737509727478027,593,0,314
22,3,c6a5,6.4838831424713135,16562,0,3156
22,4,c6a7,24.875322818756104,85286,0,24366
23,1,f3e5,0.00767207145690918,23,5,22
23,2,f3g5,0.06264781951904297,171,101,148
23,3,f3e5,0.7641561031341553,1333,617,129
23,4,d1e2,6.852891206741333,15671,9106,3248
24,1,a2d2,0.009222984313964844,39,0,27
24,2,a2c2,0.07255887985229492,359,0,292
24,3,a7b5,1.649261236190796,5128,0,632
24,4,a6a5,13.347340106964111,45332,0,7927
25,1,f3e5,0.011477947235107422,26,4,1
25,2,f3g5,0.10608410835266113,249,191,32
25,3,d2c4,1.351654291152954,2482,1245,240
25,4,e2c4,7.258606195449829,15930,8720,2730
26,1,a2c4,0.01379084587097168,38,0,0
26,2,a2c4,0.10946512222290039,378,0,96
26,3,a2c2,3.002485990524292,9351,0,1430
26,4,a2c4,18.09416389465332,62655,0,15866
27,1,d2c4,0.00606989860534668,19,4,18
27,2,d2c4,0.06498098373413086,150,70,39
27,3,d2c4,0.8589682579040527,1367,848,173
27,4,d2c4,5.4340291023254395,12635,5763,2968
28,1,a7b5,0.0054318904876708984,29,0,28
28,2,a7b5,0.04204511642456055,224,0,195
28,3,b8b1,0.9299230575561523,3050,0,371
28,4,b8b1,7.848390102386475,26659,0,4369
29,1,c1e3,0.005583047866821289,11,23,3
29,2,c4a5,0.046621084213256836,122,71,27
29,3,c4a5,0.6366188526153564,1118,1845,55
29,4,c1e3,5.713503837585449,14944,7189,2326
30,1,b1e1,0.007875919342041016,32,0,18
30,2,b1e1,0.1307830810546875,488,0,189
30,3,b1e1,4.100477933883667,13650,0,1419
30,4,b1e1,33.93311285972595,123762,0,50637
31,1,f3e1,0.0009019374847412109,3,0,2
31,2,f3e1,0.012221097946166992,38,14,17
31,3,f3e1,0.17120909690856934,266,319,0
31,4,f3e1,0.9275491237640381,2123,968,151
32,1,a7b5,0.003984928131103516,21,0,20
32,2,a7b5,0.033438920974731445,180,0,159
32,3,a7b5,0.5760257244110107,1929,0,168
32,4,a7b5,2.982694149017334,11256,0,2053
33,1,e4e5,0.003973245620727539,4,26,3
33,2,d5d6,0.012770891189575195,40,42,36
33,3,c4a5,0.11921000480651855,139,524,6
33,4,e4e5,0.640084981918335,1628,1199,225
34,1,f6d5,0.006201028823852539,23,0,7
34,2,f6d5,0.049936771392822266,202,0,86
34,3,f6d5,0.6709418296813965,2392,0,276
34,4,f6d5,5.626048803329468,21179,0,5773
35,1,e3c5,0.003535032272338867,11,17,10
35,2,e3g5,0.02763819694519043,105,50,82
35,3,e3d2,0.36319804191589355,591,542,44
35,4,e3d2,2.4092929363250732,6300,1934,930
36,1,b5c3,0.007089138031005859,26,0,13
36,2,h8g8,0.02967071533203125,114,0,41
36,3,a5a4,0.6091508865356445,1999,0,143
36,4,b5c3,2.6942570209503174,9830,0,926
37,1,d2c3,0.008229255676269531,21,4,8
37,2,d2c3,0.055615901947021484,154,22,68
37,3,e1d3,1.0819718837738037,1862,1289,140
37,4,e1f3,2.856633186340332,7253,1500,897
38,1,c3e4,0.008517265319824219,27,0,1
38,2,c3e2,0.05770611763000488,225,0,94
38,3,c3e2,0.6718227863311768,2291,0,237
38,4,a5a4,3.821470022201538,14146,0,1717
39,1,d2c3,0.0024759769439697266,2,24,1
39,2,d2c3,0.005845069885253906,18,28,16
39,3,d2c3,0.04802203178405762,59,217,0
39,4,d2c3,0.24217486381530762,654,362,36
40,1,d5c3,0.006246089935302734,21,0,0
40,2,d5c3,0.03463029861450195,139,0,32
40,3,d5c3,0.4578249454498291,1609,0,95
40,4,d5c3,2.006537914276123,7890,0,1517
41,1,f3g5,0.0051708221435546875,18,3,17
41,2,f3g5,0.027107954025268555,97,10,79
41,3,c4e3,0.28020787239074707,600,199,111
41,4,h3h4,2.5912721157073975,6955,954,1301
42,1,c8b7,0.007364034652709961,23,0,1
42,2,c8b7,0.021480083465576172,85,0,20
42,3,c3e4,0.4839191436767578,1632,0,140
42,4,c3e4,1.5371840000152588,6366,0,700
43,1,f3g5,0.006401777267456055,17,3,0
43,2,f3d4,0.03138303756713867,114,27,82
43,3,f3d4,0.4163181781768799,825,470,96
43,4,f3g5,2.062882661819458,5487,1070,660
44,1,e4g5,0.006358146667480469,23,0,7
44,2,e4g5,0.02997612953186035,130,0,47
44,3,c8b7,0.5823571681976318,2215,0,219
44,4,e4g5,2.00534725189209,8496,0,1116
45,1,h4g5,0.0037932395935058594,13,5,12
45,2,h4g5,0.02885890007019043,95,15,36
45,3,h4g5,0.23413705825805664,539,204,80
45,4,h4g5,1.7923619747161865,4951,724,883
46,1,c8b7,0.002610921859741211,15,0,14
46,2,c8b7,0.01113438606262207,59,0,35
46,3,c8b7,0.2648308277130127,1002,0,53
46,4,c8b7,0.8470368385314941,3542,0,453
47,1,c4e3,0.003651142120361328,13,4,12
47,2,c4e3,0.03200101852416992,133,14,120
47,3,c4e3,0.15975475311279297,333,99,30
47,4,c4a5,2.7181029319763184,8157,1119,1471
48,1,b7g2,0.004461050033569336,24,0,23
48,2,b7d5,0.021020889282226562,104,0,53
48,3,d8a8,0.38655996322631836,1546,0,278
48,4,d8a8,1.0448482036590576,4958,0,913
49,1,a5b7,0.0043239593505859375,12,2,2
49,2,a5b7,0.018416881561279297,47,9,25
49,3,a5b7,0.21213793754577637,431,81,33
49,4,a5b7,0.7284109592437744,2029,279,235
50,1,a8b7,0.003882884979248047,20,0,19
50,2,a8b7,0.009567975997924805,63,0,41
50,3,a8b7,0.2191929817199707,792,0,59
50,4,a8b7,0.43665313720703125,2211,0,259
51,1,g1h2,0.0020928382873535156,8,2,7
51,2,g1h2,0.01944899559020996,78,4,70
51,3,g1h2,0.11429023742675781,201,29,6
51,4,f2f3,1.279412031173706,4107,242,988
52,1,b7f3,0.006908893585205078,29,0,10
52,2,b7d5,0.01677989959716797,94,0,42
52,3,b7d5,0.37079811096191406,1452,0,363
52,4,b7d5,0.7386329174041748,3930,0,606
53,1,e5e6,0.0031518936157226562,9,1,0
53,2,f3f4,0.029556989669799805,119,8,100
53,3,f3f4,0.176987886428833,341,28,22
53,4,f3f4,2.057872772216797,6720,450,1761
54,1,d5e5,0.00814676284790039,32,0,8
54,2,d5d4,0.015487909317016602,90,0,36
54,3,d5d4,0.3825347423553467,1534,0,410
54,4,d5e4,0.7672812938690186,3821,0,691
55,1,e5e6,0.002454042434692383,9,1,5
55,2,g2g3,0.02894902229309082,127,14,118
55,3,g1h1,0.16062307357788086,379,41,30
55,4,g2g3,1.6432487964630127,5637,563,1313
56,1,e4f4,0.008372068405151367,34,0,10
56,2,e4e3,0.017150163650512695,103,0,40
56,3,e4d4,0.41121530532836914,1700,0,365
56,4,e4f3,0.7455098628997803,4056,0,898
57,1,g1h2,0.0016856193542480469,4,2,0
57,2,g1h2,0.012537956237792969,47,6,29
57,3,g1h2,0.04865694046020508,100,17,1
57,4,g1h2,0.31098294258117676,1046,133,232
58,1,f3f4,0.005975246429443359,34,0,33
58,2,f3f2,0.013634681701660156,96,0,59
58,3,f3f2,0.385282039642334,1544,0,310
58,4,f3e4,0.6643729209899902,3693,0,523
59,1,e5e6,0.0020589828491210938,6,1,1
59,2,h2h3,0.01781010627746582,62,4,31
59,3,h2h3,0.09952712059020996,222,28,8
59,4,h2h3,0.47626805305480957,1581,111,336
60,1,e4f4,0.005702972412109375,34,0,33
60,2,e4f5,0.013112068176269531,90,0,49
60,3,e4f5,0.3891770839691162,1621,0,354
60,4,e4e3,0.7654449939727783,4307,0,973
61,1,e5e6,0.002151012420654297,7,1,3
61,2,h3h4,0.013231039047241211,44,4,31
61,3,h3h4,0.1557910442352295,379,52,66
61,4,h3h4,1.228562831878662,4407,426,1710
62,1,e3f4,0.006218910217285156,33,0,32
62,2,e7e6,0.01837015151977539,127,0,92
62,3,a4a3,0.47646379470825195,1901,0,482
62,4,e7e6,0.9048559665679932,4940,0,1069
63,1,g3g4,0.0015690326690673828,6,1,5
63,2,h4g4,0.02118206024169922,96,11,90
63,3,h4g4,0.13196921348571777,297,23,7
63,4,h4g4,1.0905711650848389,3974,348,1659
64,1,e3f4,0.010360002517700195,38,0,1
64,2,f8c5,0.015118122100830078,111,0,73
64,3,f8e7,0.4934709072113037,1986,0,429
64,4,e3e4,1.0108702182769775,5670,0,1195
65,1,g4h5,0.0014579296112060547,4,1,2
65,2,g4h5,0.011210203170776367,42,4,36
65,3,g4h5,0.06814908981323242,149,17,22
65,4,g4h5,0.49350810050964355,1711,148,518
66,1,e4f4,0.006735801696777344,38,0,37
66,2,e4f5,0.0162808895111084,100,0,42
66,3,f8e7,0.412384033203125,1700,0,453
66,4,f8e7,0.6026391983032227,3651,0,670
67,1,g5g6,0.002003908157348633,6,0,3
67,2,h5h4,0.024974822998046875,114,12,107
67,3,h5g4,0.14911794662475586,339,14,40
67,4,h5g4,1.3837707042694092,4904,439,1956
68,1,e4f4,0.010226964950561523,44,0,21
68,2,e4f5,0.02140331268310547,134,0,69
68,3,e4f5,0.8497662544250488,3340,0,679
68,4,e4f5,0.8806169033050537,5096,0,749
69,1,g4h5,0.0009069442749023438,4,0,3
69,2,g4h4,0.01449275016784668,59,11,53
69,3,g4f3,0.11023116111755371,230,17,1
69,4,g4f3,1.0035109519958496,3068,528,491
70,1,f5f4,0.00849604606628418,34,0,18
70,2,e7g5,0.02372574806213379,109,0,17
70,3,e7g5,0.5103161334991455,1838,0,220
70,4,e7g5,1.4248032569885254,6954,0,1515
71,1,f3e3,0.0022797584533691406,6,0,0
71,2,f3e3,0.01917099952697754,55,6,1
71,3,f3e3,0.12360787391662598,304,16,52
71,4,f3e3,0.8664581775665283,2659,303,627
72,1,g5f4,0.006253719329833984,32,0,31
72,2,g5e7,0.016674041748046875,105,0,72
72,3,f5e5,0.5719442367553711,2167,0,326
72,4,f5e5,0.9253251552581787,4743,0,872
73,1,e3f3,0.0013880729675292969,5,0,0
73,2,e3d2,0.03173398971557617,105,25,0
73,3,e3d3,0.15412378311157227,344,16,23
73,4,e3d3,1.702972173690796,5789,808,1268
74,1,g5f4,0.009507179260253906,39,0,11
74,2,e5d6,0.021622180938720703,136,0,74
74,3,e5d6,0.695605993270874,2725,0,410
74,4,e5f5,1.531202793121338,8143,0,1789
75,1,d3d4,0.0017690658569335938,7,0,2
75,2,d3d4,0.017976045608520508,66,7,47
75,3,d3d4,0.11712098121643066,301,21,92
75,4,d3e3,1.8280861377716064,5895,836,1934
76,1,g5f4,0.00960397720336914,37,0,9
76,2,g5f6,0.0216519832611084,119,0,49
76,3,g5h6,0.6622819900512695,2349,0,300
76,4,g5e7,1.0993080139160156,5741,0,1041
77,1,e3d4,0.0022547245025634766,6,1,2
77,2,e3f3,0.021567821502685547,81,11,73
77,3,e3d4,0.0570070743560791,107,11,14
77,4,e3f3,1.376417636871338,4606,463,1217
78,1,f5f4,0.009257078170776367,42,0,24
78,2,e7d6,0.015878915786743164,95,0,26
78,3,e7d6,0.543104887008667,2138,0,367
78,4,e7d6,1.1671898365020752,6278,0,1077
79,1,f3e3,0.002516031265258789,6,0,0
79,2,f3e3,0.022403955459594727,86,7,80
79,3,f3e3,0.21840786933898926,405,12,64
79,4,f3e3,0.852247953414917,2765,255,564
80,1,d6f4,0.0068128108978271484,39,0,38
80,2,a4a3,0.016175031661987305,110,0,71
80,3,a4a3,0.5242619514465332,2021,0,279
80,4,f5g4,1.266160249710083,6870,0,1220
81,1,f4f5,0.0019559860229492188,7,0,6
81,2,e3f2,0.02707505226135254,108,20,89
81,3,e3f2,0.20252180099487305,442,21,72
81,4,e3f2,1.4252018928527832,4664,699,1274
82,1,g4f4,0.006117820739746094,35,0,34
82,2,d6c5,0.021823883056640625,131,0,86
82,3,a4a3,0.5339298248291016,1982,0,225
82,4,a4a3,0.8516330718994141,4529,0,517
83,1,f4f5,0.002628326416015625,7,0,1
83,2,f2g2,0.021492958068847656,76,12,55
83,3,f2g2,0.19970703125,485,16,90
83,4,f4f5,2.3013312816619873,7871,1282,2233
84,1,g4f5,0.009501218795776367,40,0,16
84,2,g4f5,0.02562403678894043,129,0,21
84,3,a3a2,0.7757718563079834,2969,0,370
84,4,a3a2,1.6381199359893799,8490,0,1879
85,1,f5e6,0.0034019947052001953,8,0,0
85,2,f5e6,0.05475211143493652,244,35,236
85,3,f5e6,0.36452603340148926,860,35,157
85,4,f5e6,5.172801971435547,18861,2402,7056
86,1,a2a1q,0.008621931076049805,46,0,45
86,2,a2a1q,0.029272079467773438,148,0,49
86,3,g4e6,1.0088891983032227,3977,0,483
